Designator,Mid X,Mid Y,Rotation,Layer
C1,318.125,-37.8,180.0,bottom
C10,282.7,-59.8,90.0,bottom
C11,283.65,-59.8,90.0,bottom
C12,281.6,-61.95,0.0,bottom
C13,286.15,-58.95,90.0,bottom
C14,291.71,-61.82,180.0,bottom
C15,281.72,-59.8,90.0,bottom
C16,281.5,-66.4,315.0,bottom
C17,293.0,-66.49,225.0,bottom
C18,286.25,-70.35,270.0,bottom
C19,280.15,-60.0,315.0,bottom
C2,291.2,-74.0,90.0,bottom
C20,320.95,-36.955,270.0,bottom
C3,285.9,-74.375,90.0,bottom
C4,290.0,-55.85,180.0,bottom
C5,281.4,-52.8,0.0,bottom
C6,279.375,-53.62,90.0,bottom
C7,284.8,-71.0,315.0,bottom
C8,287.65,-58.6,135.0,bottom
C9,284.625,-58.675,90.0,bottom
CBP1,279.35,-55.85,90.0,bottom
D1,312.3,-35.555,0.0,bottom
D2,145.65,-92.705,0.0,bottom
D3,45.6,-54.605,0.0,bottom
D_0,34.85,-30.975,90.0,bottom
D_1,53.9,-30.975,90.0,bottom
D_10,225.35,-30.975,90.0,bottom
D_11,244.4,-30.975,90.0,bottom
D_12,263.45,-30.975,90.0,bottom
D_13,265.9,-30.975,90.0,bottom
D_14,311.075,-30.975,90.0,bottom
D_15,330.125,-30.975,90.0,bottom
D_16,332.575,-30.975,90.0,bottom
D_17,39.6,-50.0,90.0,bottom
D_18,63.4,-50.0,90.0,bottom
D_19,82.45,-50.0,90.0,bottom
D_2,72.95,-30.975,90.0,bottom
D_20,101.5,-50.0,90.0,bottom
D_21,120.55,-50.0,90.0,bottom
D_22,139.6,-50.0,90.0,bottom
D_23,158.65,-50.0,90.0,bottom
D_24,177.7,-50.0,90.0,bottom
D_25,196.75,-50.0,90.0,bottom
D_26,215.8,-50.0,90.0,bottom
D_27,234.85,-50.0,90.0,bottom
D_28,253.9,-50.0,90.0,bottom
D_29,258.1,-51.65,180.0,bottom
D_3,92.0,-30.975,90.0,bottom
D_30,311.1,-50.0,90.0,bottom
D_31,330.15,-50.0,90.0,bottom
D_32,332.6,-50.0,90.0,bottom
D_33,42.0,-69.0,90.0,bottom
D_34,68.2,-69.1,90.0,bottom
D_35,87.25,-69.1,90.0,bottom
D_36,106.3,-69.1,90.0,bottom
D_37,125.35,-69.1,90.0,bottom
D_38,144.4,-69.1,90.0,bottom
D_39,163.45,-69.1,90.0,bottom
D_4,111.05,-30.975,90.0,bottom
D_40,182.5,-69.1,90.0,bottom
D_41,201.55,-69.1,90.0,bottom
D_42,220.6,-69.1,90.0,bottom
D_43,239.65,-69.1,90.0,bottom
D_44,254.1,-64.7,90.0,bottom
D_45,311.1,-69.1,90.0,bottom
D_46,330.15,-69.1,90.0,bottom
D_47,332.6,-69.1,90.0,bottom
D_48,46.7,-85.4,90.0,bottom
D_49,77.7,-84.95,90.0,bottom
D_5,130.1,-30.975,90.0,bottom
D_50,96.75,-84.95,90.0,bottom
D_51,115.8,-84.95,90.0,bottom
D_52,134.85,-84.95,90.0,bottom
D_53,153.9,-84.95,90.0,bottom
D_54,172.95,-84.95,90.0,bottom
D_55,192.0,-84.95,90.0,bottom
D_56,211.05,-84.95,90.0,bottom
D_57,230.1,-84.95,90.0,bottom
D_58,255.7875,-84.95,90.0,bottom
D_59,311.1,-88.1,90.0,bottom
D_6,149.15,-30.975,90.0,bottom
D_60,330.15,-88.1,90.0,bottom
D_61,332.6,-88.1,90.0,bottom
D_62,287.3,-92.9,90.0,bottom
D_63,37.2,-107.2,90.0,bottom
D_64,58.7,-107.1,90.0,bottom
D_65,80.0,-107.2,90.0,bottom
D_66,118.2,-105.3,90.0,bottom
D_67,153.95,-105.3,90.0,bottom
D_68,184.6,-105.3,90.0,bottom
D_69,218.2,-107.2,90.0,bottom
D_7,168.2,-30.975,90.0,bottom
D_70,242.0,-107.2,90.0,bottom
D_71,330.2,-107.2,90.0,bottom
D_72,332.65,-107.2,90.0,bottom
D_73,268.2,-112.0,90.0,bottom
D_74,287.25,-112.0,90.0,bottom
D_75,306.3,-112.0,90.0,bottom
D_8,187.25,-30.975,90.0,bottom
D_9,206.3,-30.975,90.0,bottom
F1,283.35,-51.6,90.0,bottom
FLASH1,290.575,-58.55,0.0,bottom
J1,294.5,-73.0,0.0,top
J2,291.425,-51.925,90.0,bottom
J3,285.9,-46.1,90.0,bottom
J5,290.6,-82.975,0.0,bottom
K_0,26.56,-26.29,0.0,top
K_1,45.61,-26.29,0.0,top
K_10,217.06,-26.29,0.0,top
